"Empenho","Credor","Tipo","Processo Licitatório","Fonte de Recurso","Data Empenho","Data Liquidação","Data Pagamento","Valor Empenhado","Valor Liquidado","Valor Pago",""
"00001-000 / 2025","00008 - INSS-INSTITUTO NACIONAL SEGURO SOCIAL","OP","-","1869000","02/01/2025","16/01/2025","16/01/2025"," -"," 0.00"," 25.52",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00001-000 / 2025","00003 - BANCO DO BRASIL S/A","EO","-","1500000","09/01/2025","09/01/2025","09/01/2025"," 24.00"," 24.00"," 24.00",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00002-000 / 2025","00008 - INSS-INSTITUTO NACIONAL SEGURO SOCIAL","OP","-","1869000","02/01/2025","16/01/2025","16/01/2025"," -"," 0.00"," 2102.76",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00002-000 / 2025","00003 - BANCO DO BRASIL S/A","EO","-","1500000","10/01/2025","10/01/2025","10/01/2025"," 24.00"," 24.00"," 24.00",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00003-000 / 2025","00008 - INSS-INSTITUTO NACIONAL SEGURO SOCIAL","OP","-","1869000","02/01/2025","16/01/2025","16/01/2025"," -"," 0.00"," 7735.00",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00003-000 / 2025","00003 - BANCO DO BRASIL S/A","EO","-","1500000","10/01/2025","10/01/2025","10/01/2025"," 12.00"," 12.00"," 12.00",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00004-000 / 2025","00010 - INSS-INSTITUTO NACIONAL SEGURO SOCIAL","OP","-","1869000","02/01/2025","16/01/2025","16/01/2025"," -"," 0.00"," 2601.31",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00004-000 / 2025","00003 - BANCO DO BRASIL S/A","EO","-","2708000","10/01/2025","10/01/2025","10/01/2025"," 12.00"," 12.00"," 12.00",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00005-000 / 2025","00010 - INSS-INSTITUTO NACIONAL SEGURO SOCIAL","OP","-","1869000","02/01/2025","16/01/2025","16/01/2025"," -"," 0.00"," 367.47",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"00005-000 / 2025","00724 - EMBRATEL EMP.BRASILEIRA TELECOMUNICACAO","EO","-","1500000","10/01/2025","14/01/2025","14/01/2025"," 36.43"," 36.43"," 36.43",""
"Clique na lupa para mais informações","","","","","","","","","","",""
"Total Geral (*)","7675456.51","7647068.18","7979094.07","","","","","","","",""
"Total Orçamentário","7675456.51","7389640.56","7234710.47","","","","","","","",""
"Total Extra-Orçamentário","0","257427.62","744383.6","","","","","","","",""
"","","","","","","","","","","",""
"(*) O valor total geral refere-se apenas ao somatório das despesas da página atual.","","","","","","","","","","",""
